iter	Logloss
0	0.6750742119
1	0.6562983251
2	0.640228508
3	0.6255287043
4	0.6112413559
5	0.59818022
6	0.5855720468
7	0.5738334487
8	0.5626906892
9	0.5530065749
10	0.5434496286
11	0.5354741049
12	0.5267760335
13	0.5201372043
14	0.5129427588
15	0.5067133644
16	0.5004470934
17	0.4943469937
18	0.4891962419
19	0.4843942765
20	0.4798066564
21	0.4757349198
22	0.4711922347
23	0.4666932897
24	0.4632221556
25	0.4595617787
26	0.4566602535
27	0.4530894183
28	0.4503585567
29	0.4473213317
30	0.444780118
31	0.4421091591
32	0.4398239009
33	0.437893885
34	0.4359291459
35	0.4344223762
36	0.4324065136
37	0.4308532942
38	0.4294847131
39	0.4276045067
40	0.4263491906
41	0.4250384883
42	0.4237121468
43	0.422142444
44	0.42081177
45	0.4194772747
46	0.4186067692
47	0.4176039369
48	0.4164259026
49	0.4155177951
50	0.414705378
51	0.4139529888
52	0.4131632278
53	0.4125606966
54	0.4118847903
55	0.4113529564
56	0.4108357704
57	0.4101391297
58	0.4096614632
59	0.4091498521
60	0.4085746431
61	0.4080509189
62	0.4074803533
63	0.4069287251
64	0.4064540707
65	0.4061296121
66	0.4057628931
67	0.4053240614
68	0.4048109759
69	0.4043788165
70	0.4038225316
71	0.4035323703
72	0.4031241139
73	0.4029044803
74	0.4025884557
75	0.4023696256
76	0.4020811833
77	0.4018567954
78	0.4015540826
79	0.4012975594
80	0.4010706278
81	0.4008214784
82	0.4004013115
83	0.4000779047
84	0.3999049308
85	0.3997095982
86	0.3994955595
87	0.399333131
88	0.3991347939
89	0.3989753456
90	0.3987533462
91	0.3985139676
92	0.3983744966
93	0.3981910326
94	0.3980300387
95	0.3978676352
96	0.3976750494
97	0.3975421245
98	0.3974196376
99	0.3972393759
100	0.3970748616
101	0.3969591911
102	0.3967946473
103	0.3966884801
104	0.3965257602
105	0.3964225595
106	0.3962698014
107	0.3961479883
108	0.3960390102
109	0.3959455317
110	0.3957838498
111	0.395624996
112	0.3954853418
113	0.3953979205
114	0.3953022584
115	0.3951916574
116	0.3951055358
117	0.3950162901
118	0.3948985721
119	0.39477857
120	0.3946759494
121	0.3945642696
122	0.3944395877
123	0.3943671049
124	0.3942810412
125	0.3942014055
126	0.3941236459
127	0.3940044832
128	0.3939167003
129	0.3938317435
130	0.3937621397
131	0.3936621941
132	0.3935459513
133	0.3934760354
134	0.3934038541
135	0.3933543874
136	0.3932769828
137	0.3932063932
138	0.3931450543
139	0.3930489733
140	0.3929497745
141	0.3928095328
142	0.3927311329
143	0.3926713979
144	0.3926109663
145	0.3925170714
146	0.3924398624
147	0.3923939549
148	0.392322931
149	0.3922547205
150	0.3921970814
151	0.3921234743
152	0.392058731
153	0.3920115913
154	0.3919592023
155	0.3918862982
156	0.3918556923
157	0.3917926363
158	0.3917115864
159	0.3916366396
160	0.3915858915
161	0.3915210444
162	0.3913944009
163	0.3913452563
164	0.3912389191
165	0.3911911932
166	0.3911484561
167	0.3910698927
168	0.3910431877
169	0.3909219873
170	0.3908157864
171	0.3907563157
172	0.39073343
173	0.3906675905
174	0.3905952835
175	0.3905194039
176	0.3904380921
177	0.3903932223
178	0.3903541058
179	0.3903124855
180	0.3902842588
181	0.3902099853
182	0.3901532804
183	0.3900961133
184	0.3900658564
185	0.390016441
186	0.3899821089
187	0.3899239586
188	0.3899101431
189	0.389870019
190	0.3898126214
191	0.3897462944
192	0.3896922087
193	0.3896306723
194	0.3895534042
195	0.3894598255
196	0.3894270389
197	0.3893851823
198	0.3893448593
199	0.389283896
200	0.3892395043
201	0.3892004427
202	0.389170883
203	0.3891362573
204	0.3891030887
205	0.3890538273
206	0.389013074
207	0.3889662651
208	0.38893981
209	0.3888897011
210	0.388853648
211	0.3888104169
212	0.3887577294
213	0.3887225644
214	0.388673402
215	0.388654309
216	0.3886210991
217	0.3885837309
218	0.3885291735
219	0.3885071811
220	0.3884869716
221	0.3884394397
222	0.388379843
223	0.3883339965
224	0.3883075573
225	0.3882817401
226	0.3882485492
227	0.3881824427
228	0.3881542501
229	0.3881317583
230	0.3880919047
231	0.3880487106
232	0.3880007419
233	0.3879593573
234	0.3879352451
235	0.387873476
236	0.3878422864
237	0.3878119505
238	0.3877679297
239	0.3877089574
240	0.3876571925
241	0.3875960344
242	0.3875565528
243	0.3875271832
244	0.3875028021
245	0.3874818312
246	0.3874630111
247	0.3874397706
248	0.3874004686
249	0.3873819199
250	0.3873555967
251	0.3873326326
252	0.3873016448
253	0.3872567601
254	0.3872235572
255	0.3872099179
256	0.3871873321
257	0.3871272727
258	0.3870979085
259	0.3870693474
260	0.3870115869
261	0.3869768245
262	0.3869394082
263	0.3868967707
264	0.3868760378
265	0.3868527601
266	0.3868303079
267	0.3868076852
268	0.3867854343
269	0.3867436659
270	0.3867191823
271	0.3866893824
272	0.386669406
273	0.3866352045
274	0.3865902976
275	0.3865707222
276	0.3865534065
277	0.3865361785
278	0.3864744873
279	0.3864451852
280	0.3863898403
281	0.3863649118
282	0.3863294563
283	0.3863052127
284	0.3862842378
285	0.3862543743
286	0.3862351425
287	0.3862147677
288	0.3861816353
289	0.3861660779
290	0.3861450375
291	0.3861283692
292	0.3861025744
293	0.386080082
294	0.38606271
295	0.3860406726
296	0.3860266613
297	0.3859839802
298	0.3859727043
299	0.3859570068
300	0.3859229138
301	0.385882236
302	0.3858578629
303	0.3858381123
304	0.3858195674
305	0.3857993106
306	0.3857665461
307	0.3857428808
308	0.3857168042
309	0.3857024896
310	0.3856747053
311	0.3856574934
312	0.3856181822
313	0.3855912763
314	0.3855747949
315	0.3855538998
316	0.385517201
317	0.3854934703
318	0.3854570744
319	0.3854499893
320	0.3854200619
321	0.3853851226
322	0.3853403081
323	0.3853303615
324	0.385289852
325	0.3852693606
326	0.385252605
327	0.3852229863
328	0.3851877943
329	0.3851716952
330	0.3851525794
331	0.3851312466
332	0.3850896581
333	0.3850696899
334	0.3850396377
335	0.3850158631
336	0.3849927137
337	0.3849706477
338	0.3849420998
339	0.3849187151
340	0.3849082449
341	0.3848919639
342	0.3848752352
343	0.3848501649
344	0.3848444654
345	0.3848249128
346	0.3847997006
347	0.3847741769
348	0.3847448591
349	0.3847212424
350	0.3846926354
351	0.3846834634
352	0.3846496012
353	0.3846318928
354	0.3846212969
355	0.3846041573
356	0.3845799446
357	0.3845574241
358	0.3845418905
359	0.3845081805
360	0.3845025517
361	0.3844857457
362	0.3844713238
363	0.3844499932
364	0.3844242859
365	0.3843877352
366	0.3843771385
367	0.3843498174
368	0.3843350894
369	0.3842946559
370	0.3842559201
371	0.384223742
372	0.3842023274
373	0.3841757351
374	0.38415215
375	0.3841306093
376	0.3841104057
377	0.3840856209
378	0.3840411345
379	0.3840062659
380	0.3839635188
381	0.3839364039
382	0.3839074491
383	0.3838786591
384	0.383856307
385	0.3838213837
386	0.3838074529
387	0.3837708125
388	0.3837608212
389	0.3837206768
390	0.383686107
391	0.3836524099
392	0.3836218737
393	0.3836093219
394	0.3835594723
395	0.3835282661
396	0.383500586
397	0.3834816774
398	0.3834563192
399	0.3834299924
400	0.3834007678
401	0.3833732169
