iter	Passed	Remaining
0	25	20292
1	50	20232
2	75	20030
3	99	19794
4	121	19389
5	146	19416
6	172	19536
7	197	19531
8	219	19330
9	251	19876
10	283	20330
11	313	20586
12	345	20895
13	370	20787
14	404	21167
15	434	21267
16	464	21373
17	499	21683
18	535	22013
19	562	21943
20	594	22069
21	629	22248
22	659	22269
23	690	22318
24	720	22322
25	753	22417
26	783	22428
27	814	22464
28	845	22474
29	875	22468
30	908	22539
31	941	22595
32	974	22645
33	1005	22647
34	1034	22604
35	1066	22627
36	1100	22704
37	1129	22649
38	1160	22645
39	1191	22641
40	1221	22617
41	1256	22679
42	1287	22665
43	1320	22691
44	1349	22639
45	1381	22640
46	1412	22631
47	1443	22609
48	1475	22618
49	1509	22648
50	1547	22721
51	1579	22725
52	1615	22762
53	1648	22769
54	1680	22768
55	1713	22770
56	1743	22729
57	1782	22808
58	1814	22783
59	1848	22802
60	1880	22780
61	1913	22779
62	1944	22749
63	1977	22736
64	2012	22760
65	2041	22703
66	2070	22653
67	2104	22654
68	2137	22641
69	2170	22632
70	2204	22638
71	2236	22609
72	2274	22654
73	2303	22601
74	2336	22583
75	2366	22545
76	2398	22517
77	2431	22506
78	2463	22479
79	2496	22464
80	2532	22476
81	2566	22473
82	2598	22451
83	2632	22441
84	2664	22410
85	2696	22385
86	2734	22410
87	2771	22424
88	2814	22480
89	2851	22497
90	2882	22458
91	2927	22526
92	2965	22544
93	3004	22562
94	3048	22626
95	3093	22683
96	3135	22722
97	3171	22719
98	3200	22663
99	3231	22618
100	3263	22587
101	3289	22509
102	3323	22492
103	3357	22470
104	3387	22424
105	3423	22413
106	3454	22375
107	3485	22334
108	3516	22292
109	3547	22249
110	3575	22193
111	3607	22162
112	3643	22149
113	3673	22105
114	3706	22079
115	3735	22026
116	3762	21963
117	3793	21927
118	3827	21901
119	3854	21844
120	3884	21798
121	3913	21749
122	3951	21748
123	3988	21743
124	4018	21698
125	4047	21652
126	4078	21615
127	4108	21567
128	4139	21533
129	4171	21499
130	4197	21437
131	4227	21395
132	4258	21357
133	4290	21322
134	4320	21281
135	4351	21243
136	4381	21205
137	4410	21156
138	4438	21109
139	4470	21076
140	4499	21030
141	4529	20990
142	4556	20935
143	4589	20907
144	4623	20884
145	4658	20869
146	4687	20822
147	4716	20777
148	4744	20728
149	4775	20694
150	4803	20646
151	4833	20607
152	4863	20567
153	4892	20524
154	4916	20460
155	4945	20416
156	4972	20365
157	5001	20322
158	5033	20292
159	5067	20269
160	5093	20217
161	5125	20185
162	5154	20144
163	5183	20101
164	5216	20075
165	5245	20035
166	5271	19980
167	5304	19954
168	5331	19906
169	5363	19876
170	5391	19833
171	5420	19791
172	5448	19748
173	5479	19715
174	5512	19688
175	5543	19654
176	5572	19613
177	5604	19582
178	5634	19547
179	5668	19523
180	5698	19487
181	5731	19462
182	5764	19433
183	5793	19394
184	5818	19342
185	5851	19316
186	5880	19277
187	5912	19248
188	5937	19194
189	5970	19169
190	5998	19127
191	6031	19098
192	6062	19067
