feature,importance
tasa_falla_ult_3d,0.10736029
count_unidad_14_ult_7d,0.05159852
count_causa_varios_ult_3d,0.04219728
tasa_falla_ult_5d,0.02454522
count_sistema_varios_ult_7d,0.018424278
count_causa_varios_ult_7d,0.016791781
inspeccion_total_highs_evento,0.015821662
count_regb_ult_60d,0.015167158
dias_desde_ultimo_regb,0.01439484
count_causa_varios_ult_5d,0.012967143
count_correctivo_ult_180d,0.011755709
inspeccion_total_mediums_evento,0.010500327
count_taller_el_conquistador_ult_30d,0.008155717
count_taller_pie_andino_ult_30d,0.0069732545
dias_desde_ultimo_it,0.0067413435
tasa_falla_ult_7d,0.006711918
dias_desde_ultima_falla,0.0066544376
count_unidad_14_ult_30d,0.0064588147
inspeccion_total_lows_evento,0.006402916
total_fallas_hist,0.006396353
no_presentado_ult_30d,0.006260499
count_taller_el_conquistador_ult_7d,0.0062360037
count_sistema_varios_ult_30d,0.0060474984
dias_desde_correctivo_anterior_std,0.0059985113
eventos_ult_3d,0.0058972505
count_preventivo_ult_60d,0.005885507
count_regb_ult_7d,0.005835577
total_correctivos_hist,0.005803649
correctivos_ult_3d,0.0057834387
count_taller_pie_andino_ult_7d,0.0057472815
count_taller_santa_marta_ult_7d,0.0056403535
count_sistema_electrico_ult_7d,0.0056305462
lows_it_ult_90d,0.0055678175
count_taller_santa_marta_ult_30d,0.005476918
repuestos_descripciones_unicas_evento,0.005455689
correctivos_previos,0.005321195
count_it_ult_7d,0.0052796816
tasa_correctivos_hist,0.005264213
count_sistema_carroceria_ult_7d,0.0051211687
count_taller_el_retiro_ult_7d,0.0051174103
lows_it_ult_180d,0.0050768056
count_regb_ult_180d,0.005056508
repuestos_cantidad_total_ult_30d,0.004976202
mediums_regb_ult_30d,0.004974533
mes,0.004956881
count_taller_el_retiro_ult_30d,0.0049529537
dias_desde_ultimo_correctivo,0.004921471
lows_regb_ult_30d,0.004856489
dias_desde_correctivo_anterior_mean,0.004852734
dias_desde_correctivo_anterior_min,0.0048455438
keyword_correa,0.00482307
highs_regb_ult_30d,0.004802863
count_preventivo_ult_180d,0.0047573885
count_sistema_electrico_ult_30d,0.0047511375
count_unidad_8_ult_7d,0.0047099097
count_unidad_11_ult_30d,0.0047081583
keyword_freno,0.004685277
eventos_previos,0.0046639796
count_keyword_espejo_ult_7d,0.004657164
count_keyword_correa_ult_30d,0.0046461555
dias_desde_correctivo_anterior,0.004638105
eventos_ult_5d,0.004636768
count_it_ult_30d,0.004635626
count_keyword_vidrio_ult_30d,0.00463339
mediums_it_ult_90d,0.0046317466
tasa_fallas_hist,0.0046260054
keyword_motor,0.0046232506
total_eventos_hist,0.004619508
count_correctivo_ult_60d,0.004612723
count_causa_correctivo_ult_7d,0.004596854
dias_desde_ultimo_mismo_taller,0.0045959256
highs_it_ult_90d,0.0045745666
count_taller_el_salto_ult_30d,0.00455305
count_unidad_8_ult_30d,0.0045477664
count_causa_correctivo_ult_3d,0.0045413743
dias_desde_correctivo_anterior_max,0.004531136
keyword_bateria,0.0045268503
count_sistema_mecanica_motor_ult_7d,0.0045135235
count_it_ult_60d,0.004435325
duracion_ot_horas_prom_evento_ult_30d,0.004398831
mediums_it_ult_180d,0.0043894313
