feature,importance
count_taller_la_estrella_ult_7d,0.018626468
keyword_bateria,0.018115973
count_taller_enea_ult_30d,0.018031253
correctivos_previos_max,0.017066844
horas_desde_creacion_hasta_apertura_prom_evento,0.01670796
count_taller_diego_portales_ult_7d,0.016679972
count_taller_enea_ult_7d,0.016550103
keyword_espejo,0.015730957
count_keyword_motor_ult_7d,0.01488769
count_keyword_refrigerante_ult_30d,0.014233803
mes,0.014158485
count_keyword_espejo_ult_30d,0.014138951
dias_desde_ultimo_mismo_taller,0.014016588
keyword_aceite,0.01341547
count_unidad_14_ult_7d,0.01341089
count_causa_varios_ult_7d,0.013375695
count_keyword_espejo_ult_7d,0.0131957205
count_keyword_aceite_ult_7d,0.013098219
correctivos_previos,0.0129283555
dia_semana,0.012838058
count_taller_diego_portales_ult_30d,0.012680189
repuestos_codigos_unicos_evento,0.012611743
count_causa_varios_ult_3d,0.012541594
count_keyword_freno_ult_30d,0.012420202
count_keyword_vidrio_ult_30d,0.012378461
count_unidad_14_ult_30d,0.012272512
repuestos_cantidad_total_ult_30d,0.01223877
count_keyword_sensor_ult_30d,0.012199767
repuestos_descripciones_unicas_evento,0.012137857
filas_correctivo_ult_7d,0.011907828
repuestos_cantidad_total_evento,0.011712397
dias_desde_correctivo_anterior_min,0.011573872
duracion_ot_horas_max_evento,0.011436318
repuestos_cantidad_total_ult_7d,0.011412913
dias_desde_correctivo_anterior_max,0.011404454
dias_desde_correctivo_anterior_mean,0.011301918
repuestos_count_ult_30d,0.011295733
num_keywords_tecnicos_ult_30d,0.011282972
dias_desde_ultima_misma_causa,0.011275525
keyword_vidrio,0.011232187
count_keyword_refrigerante_ult_7d,0.011230986
dias_desde_ultimo_keyword_freno,0.011164468
repuestos_count_ult_7d,0.011164164
duracion_ot_horas_prom_evento_ult_30d,0.011114639
count_keyword_sensor_ult_7d,0.011101139
filas_correctivo_evento,0.011051454
count_causa_correctivo_ult_5d,0.01102189
dias_desde_ultimo_evento_con_repuestos,0.0109440535
count_keyword_aceite_ult_30d,0.010824601
dias_desde_ultimo_keyword_bateria,0.010810554
count_taller_el_conquistador_ult_7d,0.010790676
fin_mes,0.0106187705
filas_correctivo_ult_30d,0.010607806
count_keyword_puerta_ult_30d,0.010429204
duracion_ot_horas_prom_evento,0.010399051
racha_misma_causa,0.010382511
count_causa_varios_ult_5d,0.010353369
dias_desde_correctivo_anterior_std,0.010335856
racha_mismo_taller,0.010301799
dias_desde_correctivo_anterior,0.010245085
count_keyword_freno_ult_7d,0.010234168
keyword_freno,0.010166359
duracion_ot_horas_prom_evento_ult_7d,0.01012206
count_taller_el_conquistador_ult_30d,0.010070044
keyword_correa,0.010031288
count_keyword_puerta_ult_7d,0.00998872
racha_eventos_con_repuestos,0.009823356
count_taller_la_estrella_ult_30d,0.0097055435
count_keyword_vidrio_ult_7d,0.009673328
correctivos_ult_5d,0.009588123
repuestos_count_evento,0.009493764
correctivos_ult_7d,0.009284435
count_keyword_correa_ult_7d,0.009230294
keyword_sensor,0.009226423
count_causa_correctivo_ult_7d,0.009096822
dias_desde_ultimo_keyword_motor,0.0090632
count_keyword_correa_ult_30d,0.008947274
correctivos_ult_3d,0.008943824
num_keywords_tecnicos_ult_7d,0.008930619
keyword_refrigerante,0.008741226
num_keywords_tecnicos_evento,0.008482439
count_keyword_motor_ult_30d,0.008460352
keyword_motor,0.008326598
count_keyword_bateria_ult_30d,0.007867839
count_keyword_bateria_ult_7d,0.0077622067
keyword_puerta,0.0077297166
count_causa_correctivo_ult_3d,0.0075932145
uuid_gestion_count_evento,0.0
uuid_gestion_unique_count_evento,0.0
insumos_count_evento,0.0
insumos_unique_count_evento,0.0
km_desviacion_relativa_prom_evento,0.0
tiene_repuestos_evento,0.0
tiene_uuid_gestion_evento,0.0
num_causas_distintas_ult_30d,0.0
count_unidad_15_ult_7d,0.0
count_unidad_15_ult_30d,0.0
uuid_gestion_count_ult_7d,0.0
uuid_gestion_count_ult_30d,0.0
