feature,importance
count_taller_el_conquistador_ult_7d,0.052872106
count_sistema_varios_ult_7d,0.049897663
count_causa_varios_ult_7d,0.023715984
filas_correctivo_ult_30d,0.022486942
count_causa_mant_filtro_polen_cc_56_ult_7d,0.01909798
count_taller_colo_colo_ult_7d,0.018674565
dias_desde_correctivo_anterior_mean,0.01809144
count_causa_mant_filtro_polen_cc_56_ult_3d,0.015648352
count_taller_el_salto_ult_30d,0.013187519
correctivos_previos,0.012935239
count_taller_colo_colo_ult_30d,0.012299143
count_sistema_preventivo_xcuso_ult_30d,0.01211494
count_causa_varios_ult_5d,0.0121113
count_sistema_preventivo_xcuso_ult_7d,0.011967
correctivos_ult_7d,0.011858657
count_unidad_11_ult_7d,0.011313959
count_sistema_mant_filtro_polen_ult_30d,0.011308794
count_taller_la_reina_ult_30d,0.01117444
count_unidad_14_ult_30d,0.010946511
count_taller_el_salto_ult_7d,0.010786911
count_sistema_filtro_polen_ult_7d,0.010346365
mes,0.010309373
dia_semana,0.009837082
tiene_repuestos_evento,0.00930002
count_causa_choque_ult_5d,0.009281678
count_taller_el_conquistador_ult_30d,0.009172841
count_sistema_mant_filtro_polen_ult_7d,0.008872461
fin_mes,0.008741544
correctivos_previos_max,0.008398966
keyword_bateria,0.008395756
count_taller_la_reina_ult_7d,0.008236216
count_unidad_11_ult_30d,0.008209035
count_causa_mant_filtro_polen_cc_56_ult_5d,0.008176498
keyword_aceite,0.008089763
repuestos_descripciones_unicas_evento,0.007988777
count_causa_choque_ult_3d,0.007973952
count_taller_lo_echevers_ult_7d,0.007952138
keyword_puerta,0.007825013
count_keyword_sensor_ult_7d,0.007706118
count_sistema_filtro_polen_ult_30d,0.0076634525
count_keyword_bateria_ult_7d,0.007662641
horas_desde_creacion_hasta_apertura_prom_evento,0.0075669386
count_causa_choque_ult_7d,0.007469182
keyword_motor,0.0074016433
count_causa_correctivo_ult_7d,0.007321148
duracion_ot_horas_max_evento,0.0072587426
dias_desde_correctivo_anterior_max,0.0072287065
repuestos_codigos_unicos_evento,0.0072255987
count_sistema_varios_ult_30d,0.0072147613
dias_desde_ultimo_mismo_taller,0.0071857106
count_causa_correctivo_ult_5d,0.0071693314
count_causa_correctivo_ult_3d,0.007165612
count_keyword_refrigerante_ult_7d,0.0071485303
num_causas_distintas_ult_30d,0.0071431072
count_keyword_aceite_ult_7d,0.00702423
count_taller_lo_echevers_ult_30d,0.007017733
count_keyword_bateria_ult_30d,0.0070167696
count_sistema_carroceria_ult_30d,0.0070088087
keyword_sensor,0.006989247
keyword_freno,0.006945236
count_causa_preventivo_xcuso_ult_3d,0.006941259
count_keyword_freno_ult_30d,0.0069382726
count_keyword_correa_ult_30d,0.0068770978
dias_desde_correctivo_anterior_min,0.0068235435
dias_desde_ultima_misma_causa,0.0067583327
racha_mismo_taller,0.006743727
count_keyword_motor_ult_30d,0.0067270296
count_keyword_espejo_ult_7d,0.006709736
filas_correctivo_ult_7d,0.0067072487
filas_correctivo_evento,0.00668911
keyword_correa,0.006643078
repuestos_count_evento,0.006567941
count_sistema_carroceria_ult_7d,0.0065274606
count_keyword_vidrio_ult_30d,0.006490502
count_keyword_espejo_ult_30d,0.0064708535
dias_desde_correctivo_anterior,0.0064674513
count_keyword_refrigerante_ult_30d,0.006414893
dias_desde_ultimo_keyword_motor,0.0064118686
count_keyword_freno_ult_7d,0.006411214
dias_desde_correctivo_anterior_std,0.0063813026
duracion_ot_horas_prom_evento,0.006351887
racha_misma_causa,0.0063336506
duracion_ot_horas_prom_evento_ult_7d,0.006323526
racha_eventos_con_repuestos,0.006318735
count_keyword_puerta_ult_30d,0.006290789
dias_desde_ultimo_keyword_freno,0.006283825
count_keyword_correa_ult_7d,0.006265722
count_keyword_motor_ult_7d,0.006222384
dias_desde_ultimo_keyword_bateria,0.0062112752
count_causa_preventivo_xcuso_ult_7d,0.0062088715
repuestos_cantidad_total_ult_30d,0.006195877
repuestos_cantidad_total_evento,0.006115307
repuestos_cantidad_total_ult_7d,0.0061090086
dias_desde_ultimo_evento_con_repuestos,0.0061001745
count_keyword_sensor_ult_30d,0.0060556214
keyword_espejo,0.005980667
duracion_ot_horas_prom_evento_ult_30d,0.005962069
count_keyword_puerta_ult_7d,0.005943359
count_keyword_aceite_ult_30d,0.0059426758
count_unidad_14_ult_7d,0.0058988463
count_causa_preventivo_xcuso_ult_5d,0.0058837365
keyword_refrigerante,0.0058713886
repuestos_count_ult_30d,0.0058544166
repuestos_count_ult_7d,0.0057557304
keyword_vidrio,0.005579951
num_keywords_tecnicos_evento,0.0055245347
correctivos_ult_5d,0.0055217054
num_keywords_tecnicos_ult_7d,0.0054944856
num_keywords_tecnicos_ult_30d,0.005350347
correctivos_ult_3d,0.005278948
count_causa_varios_ult_3d,0.00447536
count_keyword_vidrio_ult_7d,0.004463021
uuid_gestion_count_evento,0.0
uuid_gestion_unique_count_evento,0.0
insumos_count_evento,0.0
insumos_unique_count_evento,0.0
km_desviacion_relativa_prom_evento,0.0
tiene_uuid_gestion_evento,0.0
count_unidad_15_ult_7d,0.0
count_unidad_15_ult_30d,0.0
count_unidad_13_ult_7d,0.0
count_unidad_13_ult_30d,0.0
uuid_gestion_count_ult_7d,0.0
uuid_gestion_count_ult_30d,0.0
