feature,importance
count_taller_enea_ult_30d,0.035913467
correctivos_previos_max,0.02907645
horas_desde_creacion_hasta_apertura_prom_evento,0.021491673
count_keyword_aceite_ult_7d,0.02136551
mes,0.02066659
count_causa_varios_ult_7d,0.016930355
count_taller_diego_portales_ult_30d,0.016370237
dias_desde_correctivo_anterior_mean,0.016125783
count_keyword_aceite_ult_30d,0.0145612685
keyword_aceite,0.014252972
fin_mes,0.014236238
count_unidad_14_ult_7d,0.013980253
count_keyword_motor_ult_7d,0.01385174
keyword_espejo,0.013713095
count_keyword_espejo_ult_7d,0.013282178
keyword_correa,0.013209473
count_keyword_freno_ult_30d,0.013025356
count_keyword_espejo_ult_30d,0.012879154
correctivos_ult_7d,0.012422292
repuestos_codigos_unicos_evento,0.012344966
keyword_freno,0.012190676
count_keyword_motor_ult_30d,0.012107929
count_keyword_correa_ult_30d,0.012107854
keyword_puerta,0.011975993
count_causa_varios_ult_5d,0.011951255
count_keyword_vidrio_ult_30d,0.011871489
count_taller_la_estrella_ult_30d,0.011713516
repuestos_descripciones_unicas_evento,0.011491062
count_taller_el_conquistador_ult_7d,0.011340028
count_keyword_bateria_ult_30d,0.011302892
racha_misma_causa,0.01117362
repuestos_count_ult_30d,0.011069428
count_keyword_vidrio_ult_7d,0.011052756
dias_desde_ultimo_evento_con_repuestos,0.010962658
count_keyword_freno_ult_7d,0.010940615
repuestos_count_evento,0.010885911
keyword_bateria,0.010885185
repuestos_count_ult_7d,0.010782246
count_unidad_14_ult_30d,0.010780817
correctivos_previos,0.010724417
count_taller_el_conquistador_ult_30d,0.010683566
count_causa_correctivo_ult_7d,0.0106579065
duracion_ot_horas_max_evento,0.010645397
racha_mismo_taller,0.010632853
count_keyword_puerta_ult_30d,0.010611004
count_keyword_refrigerante_ult_7d,0.010587366
repuestos_cantidad_total_ult_30d,0.0105474815
dias_desde_correctivo_anterior_max,0.010462581
num_keywords_tecnicos_evento,0.010393967
num_keywords_tecnicos_ult_7d,0.010386504
repuestos_cantidad_total_ult_7d,0.010357643
num_keywords_tecnicos_ult_30d,0.0103520155
filas_correctivo_ult_30d,0.010345031
racha_eventos_con_repuestos,0.010329405
dia_semana,0.0102719385
count_causa_varios_ult_3d,0.010262051
count_keyword_sensor_ult_30d,0.010222644
filas_correctivo_evento,0.0101573495
duracion_ot_horas_prom_evento_ult_30d,0.010129978
repuestos_cantidad_total_evento,0.01005648
keyword_vidrio,0.010052914
dias_desde_ultimo_keyword_bateria,0.009964562
dias_desde_ultimo_mismo_taller,0.009942624
count_keyword_refrigerante_ult_30d,0.009942434
dias_desde_correctivo_anterior,0.00983651
keyword_refrigerante,0.009816778
duracion_ot_horas_prom_evento_ult_7d,0.009726047
duracion_ot_horas_prom_evento,0.009708328
filas_correctivo_ult_7d,0.009707644
dias_desde_correctivo_anterior_std,0.009621825
dias_desde_ultimo_keyword_freno,0.009571118
dias_desde_correctivo_anterior_min,0.009547175
dias_desde_ultimo_keyword_motor,0.009456548
count_causa_correctivo_ult_5d,0.009259339
correctivos_ult_5d,0.009212899
dias_desde_ultima_misma_causa,0.009111596
count_taller_la_estrella_ult_7d,0.008961088
count_causa_correctivo_ult_3d,0.008774497
count_taller_enea_ult_7d,0.00876273
count_keyword_puerta_ult_7d,0.008370089
correctivos_ult_3d,0.008327594
count_keyword_bateria_ult_7d,0.0075839194
count_taller_diego_portales_ult_7d,0.0073796
count_keyword_sensor_ult_7d,0.0068697864
count_keyword_correa_ult_7d,0.0053896713
tiene_repuestos_evento,0.0
insumos_unique_count_evento,0.0
insumos_count_evento,0.0
uuid_gestion_unique_count_evento,0.0
keyword_motor,0.0
km_desviacion_relativa_prom_evento,0.0
uuid_gestion_count_evento,0.0
keyword_sensor,0.0
tiene_uuid_gestion_evento,0.0
uuid_gestion_count_ult_7d,0.0
num_causas_distintas_ult_30d,0.0
uuid_gestion_count_ult_30d,0.0
count_unidad_15_ult_30d,0.0
count_unidad_15_ult_7d,0.0
